日付,現地平均気圧(hPa),海面平均気圧(hpa),降水量合計,1時間最大降水量,10分間最大降水量,平均気温(℃),最高気温(℃),最低気温(℃),平均湿度(%),最小湿度(%),平均風速,最大風速,最大風速時の風向,最大瞬間風速,最大瞬間風速時の風向,日照時間(h),降雪合計(cm),最深積雪値,天気概要昼,天気概要夜
2015-01-01,996.2,999.5,0.0,0.0,0.0,-4.0,-1.3,-6.4,64,51,1.9,4.2,南南東,6.7,南東,4.8,--,41,晴一時雪,晴一時曇後雪
2015-01-02,1001.4,1004.7,7.5,4.5,1.5,-5.5,-1.6,-9.2,65,39,2.3,7.2,西北西,12.8,西北西,6.3,13,51,晴一時雪,晴
2015-01-03,1004.0,1007.3,0.0,0.0,0.0,-5.0,-2.4,-9.4,52,38,3.0,7.7,西北西,13.1,西北西,7.0,--,46,晴,晴時々曇
2015-01-04,1007.8,1011.2,0.0,0.0,0.0,-2.7,0.2,-5.7,67,52,1.8,4.1,西,9.4,西北西,4.1,--,42,晴後一時曇,曇
2015-01-05,1012.6,1015.9,0.0,0.0,0.0,-2.4,1.4,-6.4,72,54,1.9,5.0,南東,7.5,南南東,5.8,--,40,曇一時雪後晴,曇後一時雪
2015-01-06,993.3,996.5,6.0,2.5,1.0,1.1,5.3,-5.3,75,44,5.1,11.4,南,18.2,南,0.0,--,38,雨一時雪,雪時々曇
2015-01-07,986.3,989.6,15.5,3.0,1.0,-3.4,0.9,-8.6,77,44,7.9,17.5,北西,29.8,北西,1.1,9,42,雪、大風を伴う,雪、大風を伴う
2015-01-08,998.2,1001.5,17.0,4.0,1.5,0.7,1.8,-0.2,81,62,9.5,15.2,北西,26.2,北北西,0.0,10,51,雪、あられを伴う,雪一時曇
2015-01-09,1002.5,1005.8,14.0,3.0,2.0,0.7,2.5,-1.4,77,59,6.2,10.0,北北西,16.9,北,1.0,8,57,雪、あられを伴う,雪
2015-01-10,1000.1,1003.4,4.0,1.0,1.0,-0.9,1.5,-2.5,65,39,4.1,7.7,西北西,16.1,西北西,4.6,6,63,曇時々雪,曇一時雪
2015-01-11,1002.1,1005.4,9.5,4.0,1.5,0.2,2.0,-1.3,70,47,5.2,9.2,北西,16.6,西北西,2.6,8,63,雪一時曇,雪後曇、あられを伴う
2015-01-12,1011.7,1015.0,4.5,1.5,1.0,1.0,2.2,-0.1,76,60,5.3,10.5,北西,17.2,北西,0.0,3,64,曇後雪,雪
2015-01-13,1020.5,1023.8,1.0,0.5,0.5,-0.1,2.3,-4.5,65,54,4.2,7.7,西北西,13.0,西北西,1.1,1,64,曇一時雪,晴
2015-01-14,1020.0,1023.4,--,--,--,-1.1,4.9,-5.9,65,39,1.7,5.9,北西,8.4,西北西,8.0,--,61,晴,曇後一時晴
2015-01-15,1014.0,1017.4,0.5,0.5,0.5,-0.4,2.9,-4.1,70,43,1.4,2.8,東,4.8,北西,6.0,2,60,曇時々晴,雪
2015-01-16,1009.3,1012.6,3.0,1.0,0.5,-1.3,0.7,-2.9,70,49,1.7,3.4,西,6.1,西,4.5,4,64,雪後曇時々晴,曇後雪
2015-01-17,998.4,1001.7,22.0,6.0,1.5,-3.9,0.0,-6.3,80,55,5.6,12.2,北北西,23.7,西北西,0.9,24,84,大雪、ふぶきを伴う,雪、ふぶきを伴う
2015-01-18,1008.9,1012.3,4.0,1.0,0.5,-4.9,-3.2,-7.4,70,50,5.4,11.3,北西,20.8,北西,1.6,2,82,雪一時曇、あられを伴う,曇一時雪
2015-01-19,1005.7,1009.1,0.5,0.5,0.5,-3.0,-0.8,-6.2,70,56,2.1,6.7,北西,10.7,西北西,3.9,--,78,曇後一時雪,曇時々雪一時晴
